fecha;hora;incidente;medio;vehiculo;patente;heridos;fallecidos;direccion;sector;lugar;posicion;imagen;descripcion;web
3/1/2022;21:30;choque;automovil;Renault Clio;DIT499;2;0;Ruta Nacional 249, km 662;RN 249.;ruta;-38.838481, -61.969480;20220102_dit499.jpg;Choque frontal. En ruta. Por esquivar un animal.;https://elrosalenio.com.ar/noticias/03/01/2022/10034784/video:impacto-de-dos-vehiculos-en-ruta-249-deja-varios-heridos
3/1/2022;21:30;choque;automovil;Renault Oroch;AA481RH;3;0;Ruta Nacional 249, km 662;RN 249.;ruta;-38.838451, -61.969450;20220102_AA481RH.jpg;Choque frontal. En ruta. Por esquivar un animal.;https://elrosalenio.com.ar/noticias/03/01/2022/10034784/video:impacto-de-dos-vehiculos-en-ruta-249-deja-varios-heridos
5/1/2022;15:00;incendio;automovil;Ford Escort;RVY315;0;0;Bernardo de Irigoyen 1380;Centro. Punta Alta.;calle;-38.878788, -62.062671;20220105.jpg;Incendio en marcha. En ciudad.;https://elrosalenio.com.ar/noticias/05/01/2022/10034803/bomberos-convocados-ante-el-Incendio-de-un-vehiculo
5/1/2022;11:00;incendio;automovil;Ford Ecosport;KNB244;0;0;Bernardo de Irigoyen y Murature;Centro. Punta Alta.;esquina;-38.880991, -62.074040;20221105_inc.jpg;Incendio en marcha. En ciudad.;https://elrosalenio.com.ar/noticias/05/11/2022/10038054/principio-de-incendio-de-vehiculo-en-el-centro-de-la-ciudad
13/4/2022;19:30;choque;bicicleta;Bicicleta;null;0;1;Rivadavia 1050;Centro. Punta Alta.;calle;-38.878683, -62.068013;20220413.jpg;Choque contra ciclista. Un fallecido.;https://elrosalenio.com.ar/noticias/13/04/2022/10035772/una-ciclista-fallecio-tras-siniestro-vial-con-un-camion-en-calle-rivadavia
3/5/2022;00:10;detencion;motocicleta;Suzuki AX 100cc;null;0;0;Buchardo 1700;Zona Norte. Punta Alta.;calle;-38.865889, -62.075162;20220503_detenido.jpg;Detenido. Moto sin patente. Numeracion adulterada.;https://elrosalenio.com.ar/noticias/03/05/2022/10035991/detenido-por-circular-en-una-moto-sin-patente-y-con-el-numero-de-motor-suprimido
8/1/2022;12:00;choque;automovil;Chevrolet Corsa;HPP399;0;0;Ruta Nacional 3, Km 638;RN 3.;ruta;-38.762090, -61.748608;20230108.jpg;Choque en cadena;https://elrosalenio.com.ar/noticias/08/01/2023/10038780/accidente-vial-en-ruta-3-en-cercanias-a-bajo-hondo
8/1/2022;12:00;choque;automovil;Citroen C4;OWM791;0;0;Ruta Nacional 3, Km 638;RN 3.;ruta;-38.762060, -61.748588;20230108.jpg;Choque en cadena;https://elrosalenio.com.ar/noticias/08/01/2023/10038780/accidente-vial-en-ruta-3-en-cercanias-a-bajo-hondo
14/1/2022;14:00;choque;automovil;Peugeot 408;LUA009;0;0;Colon 380;Centro. Punta Alta.;calle;-38.882512, -62.083235;20220114_LUA009.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/14/01/2022/10034894/Choque-entre-auto-y-moto-en-el-centro-de-la-ciudad
14/1/2022;14:00;choque;motocicleta;Guerrero 110cc;803KWL;1;0;Colon 380;Centro. Punta Alta.;calle;-38.882542, -62.083275;20220114_guerrero.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/14/01/2022/10034894/Choque-entre-auto-y-moto-en-el-centro-de-la-ciudad
18/1/2022;23:45;incendio;automovil;Ford Fiesta;IMA042;0;0;Mitre 510;Centro. Punta Alta.;calle;-38.878748, -62.076066;20220118.jpg;Incendio en marcha. En ciudad.;https://elrosalenio.com.ar/noticias/18/01/2022/10034921/se-Incendio-un-auto-a-30-metros-del-cuartel-de-bomberos
28/1/2022;15:30;choque;automovil;Citroen C3;NBA349;2;0;Ruta Nacional 3 y Ruta Nacional 113;RP 113.;ruta;-38.762634, -61.782091;20220128_NBA349.jpg;Choque entre auto y camion.;https://elrosalenio.com.ar/noticias/28/01/2022/10035018/siniestro-vial-registro-heridos-en-la-ruta-3,-cerca-de-pehuen-co
28/1/2022;15:30;choque;automovil;Fiat Strada;FOZ772;4;0;Ruta Nacional 3 y Ruta Nacional 113;RP 113.;ruta;-38.762684, -61.782141;20220128_FOZ772.jpg;Choque entre auto y camion.;https://elrosalenio.com.ar/noticias/28/01/2022/10035018/siniestro-vial-registro-heridos-en-la-ruta-3,-cerca-de-pehuen-co
28/1/2022;15:30;choque;camion;Fiat Iveco;AD675CO;0;0;Ruta Nacional 3 y Ruta Nacional 113;RP 113.;ruta;-38.762614, -61.782071;20220128_camion.jpg;Choque entre auto y camion.;https://elrosalenio.com.ar/noticias/28/01/2022/10035018/siniestro-vial-registro-heridos-en-la-ruta-3,-cerca-de-pehuen-co
27/6/2022;07:10;choque;bicicleta;Bicicleta;null;1;0;Colon y Pellegrini;Centro. Punta Alta.;esquina;-38.877614, -62.084588;20220627.jpg;Choque contra ciclista.;https://elrosalenio.com.ar/noticias/27/06/2022/10036562/siniestro-vial-entre-un-auto-y-una-bicicleta
2/2/2022;20:00;incendio;automovil;Fiat Marea;CMP250;0;0;Estomba 900;Ciudad Atlantida. Punta Alta.;calle;-38.891735, -62.058920;20220202_CMP250.jpg;Incendio en marcha. En ciudad.;https://elrosalenio.com.ar/noticias/02/02/2022/10035060/vehiculo-en-marcha-tomo-fuego-en-plena-calle
4/2/2022;14:00;choque;automovil;Dodge 1500;XLZ335;0;0;Tucuman 500;Ciudad Atlantida. Punta Alta.;esquina;-38.884907, -62.059237;20220204_dodge.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/04/02/2022/10035079/siniestro-vial-entre-auto-y-moto-deja-un-joven-con-dolencias
4/2/2022;14:00;choque;motocicleta;Maverick;967EHK;1;0;Tucuman 500;Ciudad Atlantida. Punta Alta.;esquina;-38.884927, -62.059267;20220204_mav.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/04/02/2022/10035079/siniestro-vial-entre-auto-y-moto-deja-un-joven-con-dolencias
18/2/2022;23:50;incendio;automovil;Citroen Berlingo;GSC510;0;0;Ruta Nacional 249, km 653;RN 249.;ruta;-38.788443, -61.906737;20220218.jpg;Incendio en marcha. En ruta.;https://elrosalenio.com.ar/noticias/18/02/2022/10035209/un-vehiculo-tomo-fuego-y-provoco-Incendio-de-pastizales
24/2/2022;23:00;incendio;automovil;Mitsubishi;ATA352;0;0;Roca y Rio Dulce;Zona Norte. Punta Alta.;calle;-38.856059, -62.087289;20220224.jpg;Incendio. Estacionado. En Taller. Intencional.;https://elrosalenio.com.ar/noticias/24/02/2022/10035272/incendiaron-una-camioneta,-pastos-y-un-contenedor
26/2/2022;17:00;choque;automovil;Citroen C4;PEC020;0;0;Jujuy y 2 de Mayo;Nueva Bahia Blanca. Punta Alta.;esquina;-38.864707, -62.073181;20220226PEC020.jpg;Choque entre vehiculo y moto. Un fallecido.;https://elrosalenio.com.ar/noticias/01/03/2022/10035311/fallecio-el-motociclista-que-estaba-internado-en-el-hospital-penna
26/2/2022;11:45;choque;automovil;Chevrolet Onix;AC494NT;0;0;Ruta Nacional 3, km 641;RN 3.;ruta;-38.761929, -61.793823;20220226onix.jpg;Choque en cadena.;https://elrosalenio.com.ar/noticias/26/02/2022/10035291/multiple-siniestro-vial-demoro-el-transito-en-la-ruta-3
26/2/2022;11:45;choque;automovil;Renault Clio;DQX406;0;0;Ruta Nacional 3, km 641;RN 3.;ruta;-38.761829, -61.793893;20220226clio.jpg;Choque en cadena.;https://elrosalenio.com.ar/noticias/26/02/2022/10035291/multiple-siniestro-vial-demoro-el-transito-en-la-ruta-3
26/2/2022;11:45;choque;automovil;Volkswagen Amarok;JZX979;0;0;Ruta Nacional 3, km 641;RN 3.;ruta;-38.761889, -61.793873;20220226amarok.jpg;Choque en cadena.;https://elrosalenio.com.ar/noticias/26/02/2022/10035291/multiple-siniestro-vial-demoro-el-transito-en-la-ruta-3
27/2/2022;17:00;choque;motocicleta;Yamaha;574BMQ;1;1;Jujuy y 2 de Mayo;Nueva Bahia Blanca. Punta Alta.;esquina;-38.864737, -62.073151;20220226PEC020.jpg;Choque entre vehiculo y moto. Un fallecido.;https://elrosalenio.com.ar/noticias/01/03/2022/10035311/fallecio-el-motociclista-que-estaba-internado-en-el-hospital-penna
10/3/2022;16:00;choque;automovil;Jeep Grand Cherokee;BNC351;2;0;Ruta Nacional 229, Km 23;RN 229.;ruta;-38.842690, -62.094066;20220310_BNC351.jpg;Choque entre autos.;https://elrosalenio.com.ar/noticias/10/03/2022/10035401/3-heridos-trasladados-al-hospital-tras-choque-entre-un-auto-y-una-camioneta
10/3/2022;16:00;choque;automovil;Peugeot 205;BAC661;1;0;Ruta Nacional 229, Km 23;RN 229.;ruta;-38.842660, -62.094036;20220310_BAC661.jpg;Choque entre autos.;https://elrosalenio.com.ar/noticias/10/03/2022/10035401/3-heridos-trasladados-al-hospital-tras-choque-entre-un-auto-y-una-camioneta
22/8/2022;07:25;choque;motocicleta;Honda;null;1;0;Alem y Libertad;Ciudad Atlantida. Punta Alta.;esquina;-38.889532, -62.075179;20220822_choque.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/22/08/2022/10037171/siniestro-vial-en-alem-y-libertad-arrojo-un-hombre-herido
16/3/2022;05:30;choque;motocicleta;Zanella 225cc;A101GBN;1;0;Saavedra y Alvear;Ciudad Atlantida. Punta Alta.;esquina;-38.886942, -62.069806;20220316_A101GBN.jpg;Choque entre motos.;https://elrosalenio.com.ar/noticias/16/03/2022/10035463/siniestro-vial-entre-motos-derivo-en-traslado-de-dos-personas-al-nosocomio-local
